Accession,Peptides used for quantitation,BY,BY 2,RM,RM 2,7.3.d,11.2.d,7.8.d,4.4.d,6.4.d,3.4.d,9.6.d,2.4.a,23.5.d,18.1.d,20.1.d,8.2.d,17.2.d,1.3.d,1.1.d,14.2.c
YCL057C-A,1,-1.164790502,-1.374700762,-0.840964636,-0.790960536,-1.232450008,-0.654407268,-1.644114772,-1.045145687,-1.104845367,-1.657788753,-0.982054408,-2.602273485,0.04558285,-1.092149485,-0.46242073,-0.566652324,-2.315342868,-1.018783804,-0.822276225,-0.616327562
YCL057W,1,-1.029346378,-1.269628198,-2.401296134,-2.085334418,-1.909934614,-2.067088994,-1.49362255,-1.982060628,-1.673202396,-1.453494189,-1.129018507,-1.816716282,-1.972110302,-1.29368008,-2.856955672,-1.717253598,-1.56616913,-1.43820545,-1.645287033,-1.567904808
YCR016W,1,-3.660270683,-3.40058362,-3.473251806,-3.170645702,-3.13187513,-3.209456948,-3.18879966,-4.314559713,-2.428468031,-2.214703994,-2.299941977,-3.79484359,-2.324303666,-2.616401696,-2.971978354,-2.500228919,-2.976272196,-2.149524936,-2.236904862,-2.206445151
YCR019W,1,1.909875163,2.087573952,1.669726663,1.318873643,1.797188811,3.193853888,2.675385845,0.742806049,1.066177862,1.62641424,1.044831039,2.560326607,0.604592402,1.317422692,0.677402002,2.003381569,1.520420646,0.364299965,2.463342995,1.697404312
YCR024C,1,-3.089416327,-2.910609869,-5.081290884,-3.849296701,-3.721786373,-5.348776069,-3.543747872,-3.756191118,-2.535174347,-5.250702479,-3.521511228,-2.511656201,-2.901418718,-2.452029676,-3.111961998,-2.153221145,-3.745429235,-1.841529313,-3.190854404,-1.831935505
YCR027C,1,-0.545876948,-0.948247071,-1.941864281,-2.139265778,-1.828874698,-1.67502251,-1.131392636,-1.209387204,-0.524536305,-1.129921993,-1.059099011,-1.178420256,-0.609837375,-1.045916527,-1.248224629,-0.858436147,-1.266208924,-0.258972149,-1.053964177,-0.904243157
YCR031C,1,4.877124366,4.929889071,3.174226769,3.055536267,3.736757422,3.641380063,5.502255713,2.379488182,4.319233496,3.66887608,3.739675692,5.952919165,3.844473012,4.428267195,2.897397479,5.13175598,4.604605956,5.48411443,4.180260504,4.276388343
YCR035C,1,0.002488964,-0.093482156,-2.018227317,-1.680524488,-1.236934264,-2.176496257,-1.390868803,-2.33417873,-1.952817375,0.306362867,-1.58035077,-1.885601848,0.478411621,0.135164045,-1.867576484,-1.196202906,1.076231385,1.437539651,-1.29253245,0.097434933
YCR072C,1,-0.988668682,-1.200942496,-1.752692329,-2.004618267,-1.740332966,-2.073846005,-0.891870411,-2.373606531,-2.657010376,-1.10359308,-2.512891615,0.944375064,-2.003340869,-1.05508101,-1.777723324,-0.366420298,-2.692160308,-2.880815438,-2.406208253,-1.165127639
YCR102C,1,-1.202884943,-1.019767057,-0.155588531,0.105294518,0.590354383,0.91179138,0.808918352,-0.28189029,0.677024963,1.089858279,1.157052902,-0.681517916,-0.009039473,-0.485163205,-1.03959872,1.147935537,0.094536664,0.13263545,1.130331375,0.208683428
YDL005C,1,-2.325180667,-2.243271616,-2.526466528,-2.045098338,-2.759608158,-2.294123975,-2.632772027,-3.295449949,-1.92134371,-2.795901946,-2.333632897,-2.999306189,-2.153075601,-2.351597049,-2.508892135,-2.658015187,-1.741526046,-2.105118815,-2.293822399,-2.116177911
YDL006W,1,-1.168128895,-1.328585014,-2.833965748,-2.061114291,-2.724576099,-2.777186858,-2.213654699,-2.856265834,-1.526185695,-3.01559886,-2.051261439,-1.044893528,-1.532013893,-1.619119344,-2.601916657,-1.709864234,-2.056991279,-1.732770721,-2.045589024,-1.756479032
YDL012C,1,3.038987887,2.895925147,2.793357293,2.593533096,2.997594328,2.950748508,3.125160247,2.618202914,3.128730735,3.326980195,3.280565637,2.986345508,3.219142703,3.403330888,2.907136271,3.890043437,2.604606097,2.904315449,2.387383379,3.245243573
YDL021W,1,-1.951489176,-1.990096561,-1.330384412,-1.115732217,-1.851503485,-0.929205455,-4.566609977,-1.26655071,-0.889853905,-3.703851029,-1.279355254,-2.855089002,-2.711274511,-3.986876922,-1.329699352,-2.637448925,-4.149159183,-4.964349912,-1.421333977,-3.985529282
YDL031W,1,-2.851436568,-2.882733123,-4.345287114,-5.139538306,-5.809494894,-6.688757347,-3.432947939,-5.723982635,-4.424206283,-4.033529101,-4.158823724,-2.435831664,-4.073086784,-3.471427311,-4.349080141,-3.687256448,-4.331033267,-1.98276829,-3.644136811,-3.354101023
YDL058W,1,-4.463649007,-4.062181646,0.708170106,0.57315219,-3.509214276,-1.837679577,-2.994130994,-1.90453651,-2.423085705,-3.6322568,-1.07354928,-3.781704185,-3.055307823,-3.7058114,-0.950567848,-2.990574188,-0.874041289,-7.637497534,-0.758189581,-2.633911663
