Plate,Well,ID2,ID3,AVG Events,Events SD,AVG Mean,AVG SD,AVD Median
3,H5,YBL076C,96_wellD8,23260.33,2769.64,91.73,36.97,86.40
3,H9,YKL157W,96_wellD9,13326.00,3254.64,12.73,5.83,11.87
3,I1,YAL019W,96_wellE1,3119.67,721.87,6.53,3.33,5.97
3,I13,YKL205W,96_wellE4,15079.33,2052.78,5.43,2.93,5.03
3,I17,YDL215C,96_wellE5,7622.67,495.00,5.63,3.13,5.17
3,I21,YIL112W,96_wellE6,7490.00,2780.15,5.07,2.87,4.70
3,I5,YIL151C,96_wellE2,9223.33,2582.97,4.63,3.20,4.27
3,I9,YBL063W,96_wellE3,12025.33,3099.42,4.80,3.40,4.43
3,J1,YOL145C,96_wellE7,14455.67,720.52,10.37,4.97,9.73
3,J13,YJR132W,96_wellE10,14357.33,2829.61,8.30,4.20,7.70
3,J17,YEL061C,96_wellE11,13021.33,4295.74,4.77,3.03,4.40
3,J21,YMR189W,96_wellE12,19916.67,2640.88,10.17,4.90,9.50
3,J5,YIL156W,96_wellE8,9843.67,1953.46,5.03,3.20,4.63
3,J9,YDR310C,96_wellE9,10814.00,1495.50,5.40,3.60,4.93
3,K1,YBR245C,96_wellF1,7907.67,1185.59,7.53,4.07,6.93
3,K13,YPL022W,96_wellF4,12027.00,1474.94,4.80,3.00,4.40
3,K17,YJR091C,96_wellF5,4946.67,606.70,8.33,4.30,7.83
3,K21,YPR115W,96_wellF6,7192.33,1748.23,5.50,2.87,5.13
3,K5,YJR109C,96_wellF2,9848.33,595.36,21.47,14.33,18.23
3,K9,YNL163C,96_wellF3,6137.67,1131.40,9.30,4.10,9.00
3,L1,YER033C,96_wellF7,4938.67,607.30,5.30,3.27,4.93
3,L13,YCR092C,96_wellF10,17293.67,2631.00,4.73,2.57,4.40
3,L17,YKL033W,96_wellF11,15663.00,1817.52,4.93,2.87,4.60
3,L21,YIL128W,96_wellF12,16305.67,565.49,7.93,3.53,7.57
3,L5,YKR086W,96_wellF8,10661.67,1991.67,4.70,2.40,4.40
3,L9,YNL278W,96_wellF9,7414.67,1738.13,5.53,3.00,5.17
3,M1,YPL115C,96_wellG1,5239.67,698.23,6.20,3.50,5.67
3,M13,YML100W,96_wellG4,11959.00,2007.11,32.13,14.90,29.47
3,M17,YPL160W,96_wellG5,11081.33,980.75,75.87,32.50,71.83
3,M21,YLR071C,96_wellG6,5852.00,1243.11,5.60,3.77,5.10
3,M5,YBL101C,96_wellG2,9887.33,16.07,5.77,3.17,5.30
3,M9,YBR059C,96_wellG3,10204.33,1747.73,10.00,5.03,9.30
3,N1,YPR042C,96_wellG7,9877.00,796.82,7.10,3.53,6.73
3,N13,YDL223C,96_wellG10,14399.67,546.81,4.73,3.30,4.40
3,N17,YPL009C,96_wellG11,12869.00,1177.29,14.27,6.33,13.60
3,N21,YGR258C,96_wellG12,9429.33,1088.30,5.60,3.27,5.20
3,N5,YHR154W,96_wellG8,10483.67,2357.01,5.27,2.77,4.90
3,N9,YJL098W,96_wellG9,11230.00,1115.54,5.70,3.10,5.30
3,O1,YML104C,96_wellH1,10465.00,1680.21,4.70,4.50,4.27
3,O13,YDL102W,96_wellH4,6981.00,1278.97,7.60,4.37,6.97
3,O17,YMR308C,96_wellH5,8197.00,1646.89,11.20,6.03,10.27
3,O21,YOL051W,96_wellH6,6145.00,861.50,5.63,4.10,5.20
3,O5,YNR067C,96_wellH2,3600.00,405.86,6.37,4.43,5.63
3,O9,YOR109W,96_wellH3,4846.00,1415.04,7.93,4.10,7.33
3,P1,YFL034W,96_wellH7,7808.67,556.61,5.50,3.30,5.07
3,P13,YJL084C,96_wellH10,14678.00,840.56,5.70,3.70,5.20
3,P17,YCL024W,96_wellH11,12462.33,2454.59,5.13,3.33,4.70
3,P21,YOL089C,96_wellH12,14023.67,1144.23,5.03,2.77,4.70
3,P5,YGL013C,96_wellH8,12355.67,949.10,4.90,3.00,4.53
3,P9,YLR039C,96_wellH9,11726.33,744.56,5.57,3.33,5.10
4,A1,YHR082C,96_wellA1,13733.33,1720.58,9.53,4.60,9.03
4,A13,YNL123W,96_wellA4,9503.67,1746.95,5.10,2.90,4.73
4,A17,YKL015W,96_wellA5,23265.33,1040.43,4.67,2.47,4.37
4,A21,YMR080C,96_wellA6,21344.00,1423.37,9.70,4.80,9.00
4,A5,YDL240W,96_wellA2,6808.33,1226.44,5.00,2.97,4.63
4,A9,YDR379W,96_wellA3,8839.33,1297.83,5.17,2.93,4.77
4,B1,YIL130W,96_wellA7,8684.00,467.33,5.73,3.43,5.27
4,B13,YJL154C,96_wellA10,23085.00,1532.38,8.97,4.70,8.30
4,B17,YPR104C,96_wellA11,27681.67,3461.59,5.37,3.10,4.90
4,B21,YDL220C,96_wellA12,2949.33,421.70,5.13,4.00,4.60
4,B5,YOR335C,96_wellA8,17122.33,1414.61,59.00,27.10,55.90
4,B9,YMR019W,96_wellA9,21355.33,728.97,5.47,3.47,4.93
4,C1,YLR187W,96_wellB1,7986.33,2597.89,5.90,3.23,5.43
4,C13,YHR073W,96_wellB4,17350.33,1847.68,6.30,3.60,5.77
4,C17,YLR442C,96_wellB5,18044.33,1639.90,5.20,3.00,4.83
4,C21,YMR288W,96_wellB6,17456.67,1285.48,5.53,3.33,5.07
4,C5,YGL201C,96_wellB2,9470.00,2362.15,7.33,3.83,6.80
4,C9,YKL173W,96_wellB3,21703.00,3217.05,5.57,2.90,5.17
4,D1,YOL090W,96_wellB7,17618.00,1591.41,6.90,4.00,6.37
4,D13,YML076C,96_wellB10,17079.33,1351.51,5.63,3.97,5.10
4,D17,YPR019W,96_wellB11,5351.67,878.34,7.93,4.87,7.17
4,D21,YCR057C,96_wellB12,18896.33,1334.33,9.47,4.83,8.70
4,D5,YEL043W,96_wellB8,19142.00,1277.28,6.57,3.53,6.10
4,D9,YGR204W,96_wellB9,16225.33,3636.01,72.47,31.33,67.80
4,E1,YBL037W,96_wellC1,25504.67,1877.91,5.43,2.93,5.03
4,E13,YOR363C,96_wellC4,18465.67,2180.68,5.20,3.37,4.80
4,E17,YBL005W,96_wellC5,20319.33,1119.26,5.20,2.97,4.77
4,E21,YIR023W,96_wellC6,21201.33,747.16,5.50,3.23,5.07
4,E5,YLL031C,96_wellC2,21807.00,2501.05,6.70,3.70,6.20
4,E9,YOR127W,96_wellC3,20276.00,2539.24,5.73,3.67,5.27
4,F1,YDL190C,96_wellC7,22521.33,2035.07,9.33,4.73,8.67
4,F13,YLR129W,96_wellC10,26146.00,783.43,5.00,2.63,4.67
4,F17,YER075C,96_wellC11,26141.33,1458.90,5.07,2.97,4.60
4,F21,YER024W,96_wellC12,25853.67,2688.00,4.97,2.97,4.60
4,F5,YGR140W,96_wellC8,24956.00,3156.32,5.67,3.07,5.20
4,F9,YIL002C,96_wellC9,15168.33,2616.35,5.73,3.37,5.27
4,G1,YDR060W,96_wellD1,20459.33,3759.48,9.00,4.77,8.33
4,G13,YIR002C,96_wellD4,33.67,8.33,5.17,4.67,3.87
4,G17,YMR275C,96_wellD5,16.33,7.51,3.20,1.93,2.97
4,G21,YNL118C,96_wellD6,2243.67,2484.86,5.80,2.67,5.33
4,G5,YDR028C,96_wellD2,6019.33,9697.83,7.77,5.23,7.00
4,G9,YOR048C,96_wellD3,5996.00,10322.17,5.60,3.93,4.43
4,H1,YMR086W,96_wellD7,1548.33,2647.15,10.60,13.77,7.47
4,H13,YMR124W,96_wellD10,698.33,606.88,4.67,2.10,4.40
4,H17,YPR135W,96_wellD11,2106.33,1813.46,4.07,1.83,3.90
4,H21,YIL017C,96_wellD12,12.33,8.50,3.47,2.03,3.33
4,H5,YJR089W,96_wellD8,1905.00,3195.99,9.47,21.77,2.97
4,H9,YIL137C,96_wellD9,482.00,808.00,5.60,4.03,4.53
4,I1,YGR047C,96_wellE1,24399.67,524.91,4.87,2.43,4.53
4,I13,YDR430C,96_wellE4,20829.00,2318.88,6.77,3.13,6.37
4,I17,YBR084W,96_wellE5,24429.67,1897.45,6.13,3.07,5.67
4,I21,YMR287C,96_wellE6,23545.67,1418.40,5.10,2.57,4.70
4,I5,YIL125W,96_wellE2,16899.67,1832.53,12.30,6.33,11.30
4,I9,YGL241W,96_wellE3,22599.33,2171.95,5.83,3.33,5.43
4,J1,YHR120W,96_wellE7,22375.00,1413.41,5.40,3.23,4.97
4,J13,YML109W,96_wellE10,19410.67,2820.49,5.83,3.90,5.30
4,J17,YDR069C,96_wellE11,6946.67,888.09,5.63,3.67,5.20
4,J21,YML111W,96_wellE12,13468.33,641.92,5.43,3.60,4.97
4,J5,YNL127W,96_wellE8,24458.33,1957.96,5.60,3.03,5.17
4,J9,YLL003W,96_wellE9,23106.33,1122.04,5.27,2.83,4.90
4,K1,YKL210W,96_wellF1,18385.33,3850.66,79.10,31.40,74.40
4,K13,YGR240C,96_wellF4,11423.67,7672.11,160.50,62.87,151.30
