ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YGL020C,GET1,ER,ER,ER,ER,44.8,30.0,SWAT-SP-GFP
YGL022W,STT3,ER,ER,0,ER,77.3,N/D,SWAT-GFP
YGL027C,CWH41,vacuole,vacuole,below threshold,below threshold,31.1,13.1,SWAT-SP-GFP
YGL028C,SCW11,"ambigous,cell periphery","cell periphery,vacuole",below threshold,ambiguous,25.6,13.6,SWAT-SP-GFP
YGL032C,AGA2,ER,"ER,vacuole","below threshold,vacuole",vacuole,78.2,14.3,SWAT-SP-GFP
YGL037C,PNC1,punctate,punctate,punctate,punctate,146.4,67.6,SWAT-GFP
YGL038C,OCH1,punctate,"punctate,vacuole",punctate,punctate,24.0,17.5,SWAT-GFP
YGL041C-B,YGL041C-B,ER,ER,below threshold,0,37.0,10.3,SWAT-GFP
YGL045W,RIM8,cytosol,cytosol,below threshold,below threshold,27.9,10.0,SWAT-GFP
YGL047W,ALG13,cytosol,cytosol,ER,ER,71.7,14.3,SWAT-GFP
YGL051W,MST27,ER,ER,below threshold,below threshold,59.6,9.3,SWAT-GFP
YGL053W,PRM8,ER,0,0,ambiguous,N/D,N/D,SWAT-GFP
YGL054C,ERV14,"cell periphery,ER,punctate","cell periphery,ER,punctate","ER,vacuole","ER,vacuole",63.8,33.2,SWAT-GFP
YGL055W,OLE1,ER,ER,ER,ER,74.0,60.0,SWAT-GFP
YGL065C,ALG2,ER,ER,ER,ER,N/D,N/D,SWAT-GFP
YGL067W,NPY1,"cytosol,punctate","cytosol,punctate","cytosol,punctate","nucleus,cytosol",84.6,15.9,SWAT-GFP
YGL075C,MPS2,"ER,punctate","ER,punctate",punctate,punctate,28.7,12.0,SWAT-GFP
YGL077C,HNM1,"cell periphery,ER","cell periphery,vacuole","cell periphery,ER","cell periphery,bud",65.2,37.7,SWAT-GFP
YGL082W,YGL082W,cell periphery,cell periphery,cell periphery,"nucleus,cytosol",80.8,20.3,SWAT-GFP
YGL083W,SCY1,cytosol,cytosol,punctate,punctate,67.4,13.2,SWAT-GFP
YGL084C,GUP1,ER,ER,ER,ER,55.0,15.7,SWAT-GFP
YGL089C,MF(ALPHA)2,vacuole,vacuole,below threshold,below threshold,25.6,15.4,SWAT-SP-GFP
YGL095C,VPS45,punctate,"cytosol,punctate",punctate,"punctate,punctate",84.6,20.6,SWAT-GFP
YGL098W,USE1,ER,ER,ER,punctate,41.1,11.6,SWAT-GFP
YGL099W,LSG1,cytosol,cytosol,cytosol,cytosol,122.3,20.7,SWAT-GFP
YGL104C,VPS73,"vacuole membrane,punctate","vacuole membrane,punctate",below threshold,below threshold,71.7,10.3,SWAT-GFP
YGL108C,YGL108C,cytosol,cytosol,cytosol,cell periphery,51.9,16.2,SWAT-GFP
YGL114W,YGL114W,ER,vacuole membrane,ambigous,below threshold,41.6,N/D,SWAT-GFP
YGL115W,SNF4,cytosol,cytosol,cytosol,cytosol,102.2,35.9,SWAT-GFP
YGL126W,SCS3,ER,ER,ER,ER,41.6,15.3,SWAT-GFP
YGL137W,SEC27,punctate,punctate,below threshold,"punctate,punctate",94.5,9.5,SWAT-GFP
YGL138C,YGL138C,ER,vacuole,below threshold,below threshold,54.2,13.0,SWAT-SP-GFP
YGL139W,FLC3,below threshold,below threshold,below threshold,cell periphery,13.5,12.3,SWAT-SP-GFP
YGL140C,YGL140C,ER,ER,ER,cytosol,49.5,14.1,SWAT-GFP
YGL142C,GPI10,ER,0,0,below threshold,N/D,N/D,SWAT-GFP
YGL145W,TIP20,cytosol,cytosol,ambigous,ER,77.0,14.3,SWAT-GFP
YGL146C,RRT6,below threshold,below threshold,below threshold,below threshold,13.2,10.9,SWAT-GFP
YGL153W,PEX14,punctate,punctate,punctate,punctate,66.5,15.5,SWAT-GFP
YGL160W,AIM14,ER,ER,below threshold,cytosol,30.0,10.0,SWAT-GFP
YGL161C,YIP5,punctate,vacuole,punctate,cytosol,56.7,26.7,SWAT-GFP
YGL167C,PMR1,punctate,punctate,punctate,ER,108.9,20.4,SWAT-GFP
YGL168W,HUR1,below threshold,below threshold,below threshold,below threshold,10.3,8.5,SWAT-GFP
YGL169W,SUA5,cytosol,cytosol,below threshold,0,62.6,15.2,SWAT-GFP
YGL180W,ATG1,cytosol,cytosol,below threshold,punctate,50.8,11.0,SWAT-GFP
YGL181W,GTS1,"punctate,bud neck","cytosol,bud","punctate,bud neck",0,72.8,20.1,SWAT-GFP
YGL184C,STR3,punctate,punctate,punctate,"nucleus,cytosol",64.4,17.1,SWAT-GFP
YGL186C,TPN1,vacuole,vacuole,vacuole,ER,N/D,N/D,SWAT-GFP
YGL194C-A,YGL194C-A,ER,"ER,punctate",punctate,0,87.5,12.5,SWAT-GFP
YGL198W,YIP4,punctate,punctate,punctate,below threshold,61.8,24.2,SWAT-GFP
YGL200C,EMP24,"ER,punctate",vacuole,punctate,punctate,116.7,50.4,SWAT-SP-GFP
YGL203C,KEX1,vacuole,vacuole,below threshold,punctate,40.2,13.6,SWAT-SP-GFP
YGL204C,YGL204C,ER,ER,below threshold,below threshold,23.5,9.0,SWAT-GFP
YGL205W,POX1,punctate,punctate,punctate,below threshold,30.2,13.3,SWAT-GFP
YGL206C,CHC1,punctate,punctate,punctate,punctate,157.9,53.6,SWAT-GFP
YGL210W,YPT32,"punctate,bud neck","punctate,bud neck","punctate,bud neck","nucleus,cytosol",85.8,16.2,SWAT-GFP
YGL212W,VAM7,vacuole membrane,vacuole membrane,vacuole membrane,"vacuole,cytosol",53.6,11.1,SWAT-GFP
YGL219C,MDM34,punctate,0,0,"mitochondria,punctate",N/D,N/D,SWAT-GFP
YGL223C,COG1,cytosol,0,0,punctate,N/D,N/D,SWAT-GFP
YGL225W,VRG4,punctate,vacuole,punctate,"punctate,punctate,punctate",159.5,35.2,SWAT-GFP
YGL226C-A,OST5,cytosol,0,0,ER,N/D,N/D,SWAT-GFP
YGL228W,SHE10,ER,ER,ER,0,119.2,47.4,SWAT-SP-GFP
YGL230C,YGL230C,ER,ER,below threshold,below threshold,68.9,10.5,SWAT-GFP
YGL231C,EMC4,ER,ER,ER,ER,68.0,29.9,SWAT-GFP
YGL233W,SEC15,bud neck,bud neck,bud neck,"bud neck,cell periphery,cytosol",67.3,14.8,SWAT-GFP
YGL236C,MTO1,ER,vacuole,below threshold,0,21.4,12.9,SWAT-SP-GFP
YGL247W,BRR6,"cell periphery,ER,punctate","cell periphery,ER,punctate",punctate,nuclear periphery,30.1,11.2,SWAT-GFP
YGL255W,ZRT1,"cell periphery,ER","cell periphery,ER",ER,ER,46.1,31.7,SWAT-GFP
YGL257C,MNT2,"cell periphery,vacuole membrane","cell periphery,vacuole membrane",below threshold,below threshold,39.3,10.3,SWAT-GFP
YGL258W,VEL1,"cell periphery,ER","cell periphery,ER",below threshold,below threshold,121.7,11.7,SWAT-SP-GFP
YGL259W,YPS5,punctate,vacuole,below threshold,below threshold,42.0,14.2,SWAT-SP-GFP
YGL263W,COS12,vacuole,vacuole,below threshold,below threshold,38.6,10.7,SWAT-GFP
YGR004W,PEX31,"cell periphery,ER,punctate","cell periphery,ER,punctate",ambigous,cytosol,49.6,18.3,SWAT-GFP
YGR009C,SEC9,"cytosol,bud neck","cytosol,bud neck",bud neck,0,62.8,20.9,SWAT-GFP
YGR014W,MSB2,punctate,"vacuole,punctate",punctate,vacuole,132.6,35.4,SWAT-SP-GFP
YGR016W,YGR016W,ER,ER,"ER,punctate",0,44.9,12.9,SWAT-GFP
YGR020C,VMA7,vacuole membrane,vacuole membrane,vacuole membrane,"ambiguous,vacuole membrane",94.1,16.7,SWAT-GFP
YGR023W,MTL1,ambigous,vacuole,below threshold,cytosol,17.3,12.3,SWAT-SP-GFP
YGR026W,YGR026W,"cell periphery,ER","cell periphery,ER",cell periphery,cell periphery,98.3,21.8,SWAT-GFP
YGR031C-A,NAG1,"cell periphery,punctate","cell periphery,punctate",below threshold,0,18.3,8.5,SWAT-GFP
YGR032W,GSC2,"cell periphery,bud neck","cell periphery,vacuole,bud neck","cell periphery,bud neck",below threshold,89.9,16.2,SWAT-GFP
YGR036C,CAX4,ER,"ER,vacuole",cell periphery,ER,22.2,18.8,SWAT-GFP
YGR037C,ACB1,cytosol,cytosol,cytosol,"nucleus,cytosol",226.8,97.4,SWAT-GFP
YGR038W,ORM1,ER,ER,ER,ER,N/D,N/D,SWAT-GFP
YGR041W,BUD9,bud neck,"vacuole,bud neck",bud neck,"ambiguous,neck,bud,bud neck",17.7,10.3,SWAT-GFP
YGR048W,UFD1,"cytosol,nucleus","cytosol,nucleus","cytosol,nucleus","nucleus,cytosol",64.6,17.5,SWAT-GFP
YGR049W,SCM4,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YGR055W,MUP1,"cell periphery,vacuole","cell periphery,vacuole",0,vacuole,29.4,N/D,SWAT-GFP
YGR057C,LST7,cytosol,"cytosol,punctate",below threshold,below threshold,29.7,9.8,SWAT-GFP
YGR058W,PEF1,"punctate,nucleus","punctate,nucleus",nucleus,"nucleus,cytosol",56.1,15.0,SWAT-GFP
YGR059W,SPR3,cytosol,"cytosol,punctate",below threshold,below threshold,43.6,10.8,SWAT-GFP
YGR060W,ERG25,"ER,bud neck",0,0,"ER,vacuole",N/D,N/D,SWAT-GFP
YGR065C,VHT1,cell periphery,"cell periphery,vacuole",cell periphery,"cell periphery,bud",28.4,12.8,SWAT-GFP
YGR068C,ART5,cytosol,cytosol,below threshold,cytosol,33.8,10.3,SWAT-GFP
YGR077C,PEX8,punctate,punctate,punctate,below threshold,42.8,14.5,SWAT-GFP
YGR083C,GCD2,cytosol,cytosol,cytosol,cytosol,86.7,29.8,SWAT-GFP
YGR086C,PIL1,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate",punctate,217.6,105.4,SWAT-GFP
YGR089W,NNF2,ER,ER,below threshold,ER,24.8,9.2,SWAT-GFP
YGR105W,VMA21,ER,ER,ER,vacuole,208.8,37.4,SWAT-GFP
YGR106C,VOA1,vacuole membrane,vacuole,"below threshold,vacuole membrane",vacuole membrane,145.5,12.3,SWAT-SP-GFP
YGR120C,COG2,cytosol,"cytosol,punctate",punctate,"punctate,punctate",49.5,15.5,SWAT-GFP
YGR121C,MEP1,ER,ER,ER,cell periphery,30.0,N/D,SWAT-GFP
YGR125W,YGR125W,vacuole membrane,vacuole,vacuole,vacuole,44.0,15.7,SWAT-GFP
YGR131W,FHN1,"cell periphery,punctate","cell periphery,punctate",below threshold,below threshold,44.8,9.5,SWAT-GFP
YGR133W,PEX4,punctate,punctate,punctate,punctate,37.9,12.6,SWAT-GFP
YGR134W,CAF130,cytosol,"cytosol,punctate",cytosol,cytosol,34.5,11.8,SWAT-GFP
YGR138C,TPO2,cell periphery,"cell periphery,vacuole",cell periphery,cell periphery,73.2,N/D,SWAT-GFP
YGR141W,VPS62,ER,ER,below threshold,below threshold,17.2,10.1,SWAT-GFP
YGR143W,SKN1,cell periphery,0,0,below threshold,N/D,N/D,SWAT-GFP
YGR144W,THI4,cytosol,0,0,below threshold,N/D,N/D,SWAT-GFP
YGR147C,NAT2,mitochondria,mitochondria,below threshold,mitochondria,27.0,13.8,SWAT-GFP
YGR149W,YGR149W,"cell periphery,ER,punctate","cell periphery,ER,punctate",below threshold,cytosol,44.1,11.8,SWAT-GFP
YGR152C,RSR1,"cell periphery,ER","cell periphery,ER","ambigous,cell periphery","nucleus,cytosol",96.2,32.3,SWAT-GFP
YGR154C,GTO1,punctate,punctate,punctate,cytosol,68.5,12.4,SWAT-GFP
YGR157W,CHO2,"cell periphery,ER","cell periphery,ER",ER,ER,87.8,29.0,SWAT-GFP
YGR163W,GTR2,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,54.7,13.8,SWAT-GFP
YGR166W,TRS65,punctate,punctate,below threshold,punctate,38.6,11.4,SWAT-GFP
YGR167W,CLC1,punctate,punctate,punctate,punctate,153.5,23.1,SWAT-GFP
YGR168C,YGR168C,punctate,punctate,below threshold,below threshold,28.5,11.4,SWAT-GFP
YGR172C,YIP1,"ER,punctate",ER,"ER,punctate",0,92.4,23.0,SWAT-GFP
YGR175C,ERG1,"ER,punctate","ER,punctate",ER,ER,100.7,56.3,SWAT-GFP
YGR177C,ATF2,ER,ER,ER,ER,93.7,16.9,SWAT-GFP
YGR189C,CRH1,cell periphery,"cell periphery,vacuole",cytosol,cytosol,30.9,32.9,SWAT-SP-GFP
YGR191W,HIP1,"cell periphery,ER","cell periphery,vacuole",ER,0,28.5,21.4,SWAT-GFP
YGR192C,TDH3,"cytosol,nucleus","cytosol,nucleus",punctate,"nucleus,cytosol",418.5,10.4,SWAT-GFP
YGR197C,SNG1,"cell periphery,vacuole","cell periphery,vacuole","below threshold,ER",below threshold,56.3,10.6,SWAT-GFP
YGR198W,YPP1,"cytosol,nucleus","cytosol,nucleus",punctate,punctate,51.3,13.4,SWAT-GFP
YGR199W,PMT6,ER,ER,ER,below threshold,48.4,14.1,SWAT-GFP
YGR202C,PCT1,nuclear periphery,0,0,nuclear periphery,N/D,N/D,SWAT-GFP
YGR206W,MVB12,cytosol,cytosol,punctate,punctate,85.4,12.3,SWAT-GFP
YGR213C,RTA1,ER,ER,below threshold,below threshold,39.2,9.1,SWAT-GFP
YGR216C,GPI1,"ambigous,ER","ambigous,ER",ER,below threshold,17.6,11.1,SWAT-GFP
YGR217W,CCH1,ER,0,0,cytosol,N/D,N/D,SWAT-GFP
YGR221C,TOS2,bud,bud,bud neck,below threshold,53.1,13.4,SWAT-GFP
YGR223C,HSV2,"punctate,vacuole membrane","punctate,vacuole membrane",punctate,below threshold,44.7,11.8,SWAT-GFP
YGR224W,AZR1,cell periphery,"cell periphery,vacuole",below threshold,below threshold,59.2,10.5,SWAT-GFP
YGR227W,DIE2,"cell periphery,ER","cell periphery,ER",below threshold,below threshold,32.2,10.4,SWAT-GFP
YGR233C,PHO81,"cytosol,nucleus","cytosol,nucleus","cytosol,nucleus","nucleus,cytosol",42.7,25.1,SWAT-GFP
YGR236C,SPG1,"ER,punctate","ER,punctate",punctate,below threshold,26.2,9.3,SWAT-GFP
YGR239C,PEX21,"cytosol,nucleus",0,0,punctate,N/D,N/D,SWAT-GFP
YGR241C,YAP1802,"cytosol,bud neck","cytosol,bud neck","cytosol,bud neck","ambiguous,neck,cell periphery,bud,bud neck",48.8,16.2,SWAT-GFP
YGR247W,CPD1,punctate,punctate,punctate,punctate,56.9,13.4,SWAT-GFP
YGR254W,ENO1,cytosol,cytosol,cytosol,cytosol,297.0,298.7,SWAT-GFP
YGR260W,TNA1,"cell periphery,vacuole","cell periphery,vacuole",cell periphery,ER,47.7,14.7,SWAT-GFP
YGR261C,APL6,"cytosol,punctate","cytosol,punctate",punctate,"punctate,punctate,punctate",69.1,19.1,SWAT-GFP
YGR263C,SAY1,"cell periphery,ER,punctate","cell periphery,ER,punctate",below threshold,ER,84.3,12.2,SWAT-GFP
YGR270W,YTA7,nucleus,nucleus,nucleus,nucleus,74.0,21.6,SWAT-GFP
YGR279C,SCW4,vacuole,vacuole,ambigous,vacuole,35.7,169.5,SWAT-SP-GFP
YGR281W,YOR1,cell periphery,"cell periphery,vacuole",cell periphery,cell periphery,49.4,16.8,SWAT-GFP
YGR282C,BGL2,"ER,vacuole",vacuole,vacuole,vacuole,114.6,64.6,SWAT-SP-GFP
YGR284C,ERV29,"ER,punctate","ER,punctate",punctate,ER,157.6,30.5,SWAT-GFP
YGR289C,MAL11,"cell periphery,vacuole",vacuole membrane,below threshold,below threshold,46.1,8.9,SWAT-GFP
YGR294W,PAU12,"ER,vacuole",below threshold,ambigous,below threshold,36.6,11.4,SWAT-SP-GFP
YGR295C,COS6,vacuole,vacuole,below threshold,vacuole,30.0,8.5,SWAT-GFP
YHL002W,HSE1,punctate,"cytosol,punctate",punctate,punctate,59.7,16.6,SWAT-GFP
YHL003C,LAG1,"ER,punctate",ER,ER,ER,86.8,26.9,SWAT-GFP
YHL008C,YHL008C,punctate,punctate,below threshold,vacuole,33.8,10.6,SWAT-GFP
YHL016C,DUR3,"cell periphery,ER","cell periphery,ER",below threshold,cytosol,31.3,9.7,SWAT-GFP
YHL017W,YHL017W,punctate,vacuole,ambigous,punctate,55.6,15.8,SWAT-SP-GFP
YHL019C,APM2,nucleus,nucleus,below threshold,"ambiguous,punctate",35.6,8.7,SWAT-GFP
YHL020C,OPI1,nuclear periphery,"nuclear periphery,punctate",nuclear periphery,nuclear periphery,34.3,17.5,SWAT-GFP
YHL026C,YHL026C,cell periphery,"cell periphery,vacuole",below threshold,ambiguous,57.3,9.0,SWAT-GFP
YHL028W,WSC4,ER,vacuole,below threshold,vacuole,32.5,12.6,SWAT-SP-GFP
YHL030W,ECM29,nucleus,nucleus,below threshold,0,89.9,10.3,SWAT-GFP
YHL031C,GOS1,punctate,punctate,punctate,0,79.2,16.6,SWAT-GFP
YHL035C,VMR1,below threshold,below threshold,below threshold,below threshold,12.9,8.3,SWAT-GFP
YHL036W,MUP3,vacuole,vacuole,below threshold,vacuole,13.9,10.2,SWAT-GFP
YHL040C,ARN1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,"vacuole,punctate",53.9,N/D,SWAT-GFP
YHL042W,YHL042W,vacuole,vacuole,below threshold,below threshold,56.5,11.9,SWAT-SP-GFP
YHL043W,ECM34,cytosol,cytosol,cytosol,below threshold,24.7,8.7,SWAT-GFP
YHL044W,YHL044W,"ambigous,punctate","cell periphery,vacuole",below threshold,below threshold,19.0,11.7,SWAT-GFP
YHL046C,PAU13,ER,vacuole,below threshold,below threshold,62.1,11.7,SWAT-SP-GFP
YHL047C,ARN2,vacuole,vacuole,below threshold,below threshold,40.3,9.0,SWAT-GFP
YHL048W,COS8,vacuole,vacuole,below threshold,ER,25.1,9.0,SWAT-GFP
YHR001W,OSH7,cytosol,cytosol,cell periphery,nucleus,139.4,19.4,SWAT-GFP
YHR004C,NEM1,punctate,punctate,punctate,punctate,28.1,13.1,SWAT-GFP
YHR005C,GPA1,cytosol,cytosol,below threshold,0,186.8,10.2,SWAT-GFP
YHR007C,ERG11,ER,ER,ER,ER,96.9,17.4,SWAT-GFP
YHR007C-A,YHR007C-A,nucleus,0,0,0,N/D,N/D,SWAT-GFP
YHR016C,YSC84,"cytosol,punctate","cytosol,punctate","cytosol,punctate",below threshold,56.7,15.4,SWAT-GFP
YHR021W-A,ECM12,below threshold,below threshold,below threshold,below threshold,11.3,9.0,SWAT-GFP
YHR027C,RPN1,nucleus,nucleus,nucleus,0,158.2,80.2,SWAT-GFP
YHR028C,DAP2,vacuole membrane,vacuole membrane,vacuole membrane,below threshold,75.3,20.4,SWAT-GFP
YHR030C,SLT2,"cytosol,nucleus","cytosol,nucleus","cytosol,nucleus","nucleus,cytosol",62.5,17.2,SWAT-GFP
YHR032W,ERC1,ambigous,vacuole,ambigous,0,19.8,10.9,SWAT-GFP
YHR036W,BRL1,ER,ER,ER,ER,34.1,11.4,SWAT-GFP
YHR039C,MSC7,ER,0,0,ER,N/D,N/D,SWAT-GFP
YHR039C-A,VMA10,vacuole membrane,vacuole membrane,below threshold,vacuole membrane,167.5,9.2,SWAT-GFP
YHR045W,YHR045W,ER,vacuole,ER,ER,53.8,19.5,SWAT-SP-GFP
YHR048W,YHK8,cell periphery,"cell periphery,vacuole",below threshold,below threshold,30.9,10.8,SWAT-GFP
YHR050W,SMF2,punctate,"punctate,vacuole",punctate,cytosol,36.9,10.3,SWAT-GFP
YHR053C,CUP1-1,cytosol,cytosol,below threshold,cytosol,171.8,12.1,SWAT-GFP
YHR055C,CUP1-2,cytosol,cytosol,below threshold,"nucleus,cytosol",170.4,11.3,SWAT-GFP
YHR057C,CPR2,"ER,vacuole",vacuole,vacuole,ambiguous,65.0,17.4,SWAT-SP-GFP
YHR060W,VMA22,nucleus,nucleus,ambigous,ER,77.2,10.5,SWAT-GFP
YHR063C,PAN5,ER,vacuole,cytosol,cytosol,85.5,25.3,SWAT-SP-GFP
YHR072W,ERG7,punctate,punctate,punctate,punctate,128.4,14.7,SWAT-GFP
YHR073W,OSH3,cytosol,cytosol,punctate,ambiguous,50.4,15.7,SWAT-GFP
YHR079C,IRE1,ER,ER,below threshold,ER,50.3,11.9,SWAT-SP-GFP
YHR083W,SAM35,"cytosol,punctate",0,0,0,N/D,N/D,SWAT-GFP
YHR086W-A,YHR086W-A,ER,vacuole,below threshold,0,34.0,11.8,SWAT-SP-GFP
YHR092C,HXT4,cell periphery,"cell periphery,vacuole",below threshold,0,58.1,N/D,SWAT-GFP
YHR094C,HXT1,cell periphery,"cell periphery,vacuole",ambigous,0,46.5,10.5,SWAT-GFP
YHR096C,HXT5,cell periphery,cell periphery,cell periphery,cell periphery,81.2,N/D,SWAT-GFP
YHR098C,SFB3,"cell periphery,ER,punctate","cell periphery,vacuole","cell periphery,ER,punctate",ER to punctate,81.0,12.3,SWAT-SP-GFP
YHR101C,BIG1,ER,ER,"ambigous,ER",ER,66.4,16.7,SWAT-SP-GFP
YHR107C,CDC12,bud neck,bud neck,bud neck,"bud neck,cell periphery",103.5,31.6,SWAT-GFP
YHR108W,GGA2,punctate,punctate,punctate,punctate,12.1,21.1,SWAT-GFP
YHR110W,ERP5,ER,"ER,vacuole",ambigous,ER,23.4,13.4,SWAT-SP-GFP
YHR114W,BZZ1,"punctate,bud neck","punctate,bud neck",below threshold,punctate,88.6,9.5,SWAT-GFP
YHR123W,EPT1,"ER,punctate","ER,punctate","ER,punctate","punctate,punctate",43.6,17.0,SWAT-GFP
YHR126C,ANS1,vacuole,vacuole,below threshold,0,25.6,11.6,SWAT-SP-GFP
YHR131C,YHR131C,cytosol,cytosol,cytosol,cytosol,20.9,9.1,SWAT-GFP
YHR132C,ECM14,"ER,punctate,vacuole",vacuole,vacuole,vacuole,77.6,29.2,SWAT-SP-GFP
YHR133C,NSG1,ER,ER,nuclear periphery,nuclear periphery,126.4,26.7,SWAT-GFP
YHR135C,YCK1,cell periphery,cell periphery,below threshold,"nucleus,cytosol",61.8,12.9,SWAT-GFP
YHR139C,SPS100,ER,vacuole,below threshold,below threshold,62.5,11.7,SWAT-SP-GFP
YHR142W,CHS7,ER,vacuole,"ER,punctate","ambiguous,neck,vacuole,bud,cytosol,bud neck",24.9,14.5,SWAT-GFP
YHR143W,DSE2,vacuole,vacuole,bud neck,0,23.8,17.7,SWAT-SP-GFP
YHR149C,SKG6,ER,0,0,"neck,cell periphery,bud,cytosol,bud neck",N/D,N/D,SWAT-GFP
YHR150W,PEX28,cytosol,"cytosol,punctate",punctate,below threshold,27.7,12.6,SWAT-GFP
YHR151C,MTC6,"ER,vacuole",vacuole,below threshold,cytosol,35.9,11.3,SWAT-SP-GFP
YHR154W,RTT107,"cell periphery,ER,punctate","cell periphery,vacuole",ambigous,nucleus,46.4,13.1,SWAT-SP-GFP
YHR155W,YSP1,cytosol,cytosol,below threshold,mitochondria,34.3,10.7,SWAT-GFP
YHR160C,PEX18,punctate,punctate,below threshold,below threshold,55.8,12.8,SWAT-GFP
YHR161C,YAP1801,"punctate,bud neck","punctate,bud neck",bud neck,"ambiguous,neck,cell periphery,bud,bud neck",63.3,13.9,SWAT-GFP
YHR171W,ATG7,cytosol,cytosol,below threshold,below threshold,46.6,10.4,SWAT-GFP
YHR173C,YHR173C,vacuole,vacuole,below threshold,below threshold,19.7,11.5,SWAT-SP-GFP
YHR174W,ENO2,cytosol,cytosol,cytosol,0,389.4,1767.3,SWAT-GFP
YHR175W,CTR2,ER,"ER,punctate","ambigous,ER",ER,72.8,9.1,SWAT-GFP
YHR175W-A,YHR175W-A,below threshold,below threshold,below threshold,0,10.7,9.6,SWAT-GFP
YHR176W,FMO1,cytosol,cytosol,below threshold,below threshold,53.4,11.2,SWAT-GFP
YHR181W,SVP26,"ER,punctate",0,0,ER,N/D,N/D,SWAT-GFP
YHR186C,KOG1,"punctate,vacuole membrane","punctate,vacuole membrane",vacuole,vacuole membrane,65.6,14.3,SWAT-GFP
YHR188C,GPI16,ER,ER,ER,0,74.5,28.0,SWAT-SP-GFP
YHR190W,ERG9,ER,ER,ER,ER,193.2,50.3,SWAT-GFP
YHR192W,LNP1,ER,ER,ER,cytosol,95.1,17.6,SWAT-GFP
YHR195W,NVJ1,"punctate,nuclear periphery","punctate,nuclear periphery","punctate,nuclear periphery","nucleus,punctate",44.4,13.4,SWAT-GFP
YHR202W,YHR202W,vacuole,vacuole,below threshold,vacuole,38.0,12.5,SWAT-SP-GFP
YHR204W,MNL1,ER,ER,below threshold,cytosol,115.8,12.8,SWAT-SP-GFP
YHR211W,FLO5,"cell periphery,punctate","cell periphery,vacuole",below threshold,0,64.4,11.0,SWAT-SP-GFP
YHR212W-A,YHR212W-A,ER,ER,ER,0,77.4,17.9,SWAT-SP-GFP
YHR213W-A,YHR213W-A,below threshold,below threshold,punctate,0,14.1,8.9,SWAT-GFP
YHR214C-D,YHR214C-D,nucleus,ER,below threshold,0,47.6,9.1,SWAT-GFP
YHR214C-E,YHR214C-E,below threshold,below threshold,below threshold,0,11.2,9.5,SWAT-GFP
YIL004C,BET1,punctate,"punctate,vacuole","ambigous,punctate",ambiguous,27.8,9.5,SWAT-GFP
YIL005W,EPS1,punctate,"punctate,vacuole","below threshold,punctate",vacuole,104.8,11.5,SWAT-SP-GFP
YIL009C-A,EST3,cytosol,cytosol,below threshold,below threshold,45.1,9.1,SWAT-GFP
YIL011W,TIR3,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,39.7,11.3,SWAT-SP-GFP
YIL013C,PDR11,cell periphery,cell periphery,below threshold,below threshold,68.2,10.5,SWAT-GFP
YIL014W,MNT3,"ER,vacuole",vacuole,below threshold,below threshold,47.5,12.0,SWAT-SP-GFP
YIL015W,BAR1,cell periphery,"cell periphery,vacuole",below threshold,vacuole,23.0,12.0,SWAT-SP-GFP
YIL016W,SNL1,punctate,punctate,"cell periphery,punctate",ER,N/D,N/D,SWAT-GFP
YIL023C,YKE4,ER,ER,below threshold,below threshold,39.0,8.7,SWAT-GFP
YIL027C,EMC5,ER,ER,ER,ER,63.2,28.8,SWAT-SP-GFP
YIL029C,YIL029C,below threshold,below threshold,below threshold,below threshold,10.2,9.0,SWAT-GFP
YIL030C,SSM4,ER,ER,below threshold,ER,54.9,N/D,SWAT-GFP
YIL037C,PRM2,"punctate,bud neck",vacuole,below threshold,vacuole,30.4,8.6,SWAT-GFP
YIL039W,TED1,ER,ER,ER,ER,90.6,16.4,SWAT-GFP
YIL040W,APQ12,ER,ER,ER,ER,34.8,13.6,SWAT-GFP
YIL041W,GVP36,cytosol,cytosol,"cytosol,punctate",cytosol,224.3,51.0,SWAT-GFP
YIL043C,CBR1,nucleus,nucleus,"cytosol,nucleus",ER,145.5,37.2,SWAT-GFP
YIL044C,AGE2,"cytosol,punctate","cytosol,punctate",punctate,punctate,96.6,18.6,SWAT-GFP
YIL046W-A,YIL046W-A,below threshold,below threshold,below threshold,0,14.4,8.0,SWAT-GFP
YIL047C,SYG1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,65.3,11.9,SWAT-GFP
YIL048W,NEO1,punctate,punctate,punctate,punctate,51.6,13.2,SWAT-GFP
YIL049W,DFG10,ER,ER,below threshold,cytosol,14.5,11.1,SWAT-GFP
YIL065C,FIS1,mitochondria,0,0,ambiguous,N/D,N/D,SWAT-GFP
YIL067C,YIL067C,punctate,punctate,"below threshold,punctate",vacuole,53.8,12.1,SWAT-GFP
YIL068C,SEC6,bud neck,bud neck,bud neck,"ambiguous,neck,cell periphery,bud,bud neck",48.5,10.1,SWAT-GFP
