Gene ID,REF,EtOH  20g/L,EtOH  40g/L,EtOH  60g/L,Osmo 0.2 M (NaCl),Osmo 0.4 M (NaCl),Osmo 0.6 M (NaCl),Temp 33C,Temp 36C,Temp 38C,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF
YBL056W,770.9649105,815.4882014,926.8829554,976.1749067,730.8313161,729.1122843,702.9886103,740.4457566,891.4266869,777.0641511,-0.02438307,-0.079990284,-0.102493027,0.023217464,0.024240197,0.040086323,0.017541364,-0.063051019,-0.003422262,0.732736592,0.139903214,0.065560697,0.850165909,0.932994277,0.384036349,0.732763866,0.336158957,0.823501222
YBL059C-A,137.5674065,161.2976449,267.5865531,240.092396,129.505745,138.2857186,111.304021,128.5616716,129.6898696,112.9895676,-0.069112477,-0.288948735,-0.241862856,0.026226515,-0.002261781,0.092004696,0.029404039,0.025609496,0.085477203,0.616981561,0.146820749,0.108632428,0.906146654,0.998577023,0.29560844,0.831976727,0.796607972,0.528893013
YBL059W,147.6623237,43.2344384,114.8939051,188.1594908,86.72366738,NA,NA,NA,NA,136.6658182,0.533439876,0.108972708,-0.105256431,0.231132063,NA,NA,NA,NA,0.033609793,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL064C,3142.3919,6164.333312,4622.253627,6327.10908,3764.545779,3841.749309,4629.276632,3420.968683,3610.007452,2259.820428,-0.292625767,-0.167593425,-0.303944975,-0.078452236,-0.087268675,-0.168252787,-0.036888752,-0.060247752,0.143186416,0.073936366,0.087835484,0.023993253,0.850165909,0.608630219,0.109784589,0.708840207,0.397753279,0.318154801
YBL068W,1494.558456,1381.264808,1581.538374,1386.60169,1524.569387,1404.226181,1380.901083,1997.427001,1775.463534,1710.470772,0.034235959,-0.024566828,0.032561181,-0.008634289,0.02707584,0.034350336,-0.12595801,-0.074798851,-0.058602751,0.631255037,0.747384429,0.320471708,0.954304504,0.923002575,0.545039489,0.461617974,0.626873652,0.248517897
YBL076C,3117.977118,2493.217443,2833.59466,3673.735201,3195.022405,3297.501075,3616.089039,3007.305529,2921.00429,4151.3521,0.097112767,0.041535198,-0.071234926,-0.010600984,-0.024312022,-0.064366192,0.015695371,0.028340729,-0.124316646,0.132801873,0.283001993,0.165591457,0.924645216,0.664888906,0.123221729,0.86048703,0.555806661,0.105531641
YBL078C,66.42693902,45.77209214,44.297361,53.56599765,50.29552561,46.94787007,31.23653594,55.37030851,59.38296241,40.02136677,0.161743477,0.175966386,0.093455043,0.120814889,0.150728346,0.327681375,0.079067297,0.048682381,0.220052324,0.204768094,0.132157459,0.194856893,0.850165909,0.688321945,0.051971956,0.448998945,0.525488672,0.051454625
YBL079W,173.7768659,253.8206505,191.9254023,199.3703206,241.2321149,190.9155067,125.0026121,182.018532,147.5805576,148.7248723,-0.164534992,-0.043140499,-0.059668547,-0.142443164,-0.040849244,0.143072872,-0.020123647,0.070962813,0.067608356,0.20813363,0.700141404,0.6103148,0.850165909,0.907790092,NA,0.929832398,0.721442097,0.661104207
YBL090W,62.03604889,54.34758915,93.73918582,78.98704043,60.02825455,57.51038687,65.18522567,49.94339866,46.11727807,49.89533978,0.057463846,-0.179277048,-0.104911712,0.014288414,0.03289784,-0.021505044,0.094166037,0.128780463,0.094584145,0.371799838,0.079525891,0.105001533,0.924645216,0.889254667,0.878885931,0.206950636,0.140724019,0.373589177
YBL091C,241.3828142,245.0724322,278.2088586,304.256224,237.5411808,220.8789927,205.3098818,216.2109413,239.6255834,220.7641503,-0.006588115,-0.061664608,-0.100533125,0.006967435,0.038551933,0.070296493,0.047828679,0.003173163,0.038777796,0.924600277,0.45651403,0.132077814,0.97400117,0.908419101,0.433946564,0.485021525,0.970475273,0.483972066
YBL092W,11589.87726,14766.78963,13281.36286,11550.65725,14328.53895,13828.77153,14585.97764,14040.98303,14763.93962,12635.44793,-0.105207251,-0.059163806,0.00147214,-0.092123072,-0.076704765,-0.099856707,-0.083318678,-0.105123424,-0.037511806,0.209802705,0.500507394,0.979044075,0.850165909,0.684119577,0.246317212,0.469751652,0.205710637,0.515432461
YBL095W,254.822682,674.9671942,385.3705366,223.6731867,224.0460958,213.3847005,150.3214715,272.2085862,430.1438478,134.7877269,-0.423044583,-0.179640425,0.056624157,0.055900702,0.077074805,0.229217064,-0.028663738,-0.227375633,0.276587733,0.319796811,0.369846404,0.281193492,0.900668496,NA,NA,0.926275326,0.143251689,0.046850028
YBL098W,649.450404,643.0461701,710.1074814,686.3337834,650.7504646,593.1067235,542.5562572,642.1632824,697.5886242,643.7946453,0.004303835,-0.038778097,-0.023989385,-0.000868496,0.039413144,0.078101215,0.004900521,-0.031053399,0.003798631,0.966017079,0.585604062,0.633386082,0.994761901,0.907790092,0.251025375,0.953034394,0.787418373,0.959175245
YBL099W,46010.33122,66005.39541,71563.73526,60504.21201,49952.85446,53297.99184,60129.71489,39749.01295,40971.96914,22755.73034,-0.156724077,-0.191837641,-0.118930249,-0.035704951,-0.063855486,-0.116233785,0.063529011,0.050368523,0.305764581,0.238643598,0.007462309,0.056561385,0.850165909,0.473749976,0.173055172,0.383852691,0.487511459,0.051454625
YBL105C,70.8721294,71.9253685,54.00967594,75.21694231,NA,56.41935637,57.49439044,66.57035921,72.02120117,56.44964287,-0.006406614,0.11800391,-0.025840193,NA,0.099047354,0.090850008,0.027194581,-0.006984879,0.098814283,NA,0.34253773,NA,NA,NA,0.813344628,0.9170226,0.97482439,0.389455016
YBR002C,135.1077208,114.0218302,141.7011384,156.4155047,NA,NA,NA,110.7770545,118.5186082,145.7680895,0.07369216,-0.020693172,-0.063599633,NA,NA,NA,0.086230354,0.056893625,-0.032982294,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBR003W,81.37969463,63.62903702,90.6028216,80.29877477,103.4545139,95.04331813,95.10608176,62.28304196,49.50740069,98.73657402,0.106860705,-0.046625667,0.005807137,-0.104233389,-0.067405534,-0.067692234,0.11614624,0.215845931,-0.083961998,0.508579932,0.663435945,0.95487733,0.850165909,0.826920331,0.506823548,0.473745098,0.226943603,0.325773274
YBR006W,109.6331879,128.8570934,85.85537864,65.34449023,102.0189381,91.34544834,83.86887667,105.8739521,122.9453439,78.22709303,-0.070166288,0.106174535,0.224733068,0.031261244,0.079255131,0.116341216,0.015152918,-0.049770043,0.146584851,0.392549186,0.118162585,0.007849313,0.850919051,0.53495801,0.06585876,0.877153315,0.463715934,0.029205711
YBR011C,38861.58957,41716.04691,41977.69776,40742.88529,40365.63941,41206.89589,40824.52666,42484.05573,42413.94763,46572.8439,-0.030782586,-0.033498056,-0.02053122,-0.016491276,-0.02544934,-0.021400597,-0.038705409,-0.037988135,-0.078612198,0.701321617,0.293962903,0.355474087,0.86645689,0.807526664,0.234366381,0.602640316,0.397753279,0.110566155
YBR017C,52.37053336,48.64264225,58.02602963,109.73646,51.91740031,58.3938011,58.07103597,55.10409422,69.70930497,86.66325248,0.032069839,-0.044535859,-0.321263949,0.003774059,-0.047279749,-0.044872577,-0.022096871,-0.124203756,-0.218747987,0.208169201,0.33089724,0.018868739,0.982210245,0.628250738,0.592081855,0.524080563,0.289513349,0.092896656
YBR025C,4657.733304,4522.019278,5722.223926,7489.101738,5377.722166,5511.599634,6041.899073,5729.324148,6641.341352,5688.343942,0.012842208,-0.089390231,-0.206255113,-0.062423743,-0.073103045,-0.112998849,-0.089928776,-0.154081185,-0.08681123,0.774812635,0.185671231,0.03045554,0.850165909,0.384152218,0.042633784,0.282626419,0.048765375,0.026854114
YBR026C,4876.115173,5628.378698,3149.901099,1649.162082,4316.262216,3923.5052,2118.132094,5895.272166,6451.085225,996.4945015,-0.062309356,0.189777037,0.470810614,0.052966135,0.094399722,0.362120914,-0.082429905,-0.121558824,0.689599048,0.554571044,0.146077721,0.008354099,0.86748035,0.87237613,0.020082876,0.412060532,0.192233394,0.008654383
YBR029C,354.8854117,402.0142225,374.943412,321.6141831,294.3744706,353.3743701,414.9052848,320.8716112,702.4717555,554.6460287,-0.054153271,-0.02387758,0.042752954,0.081188004,0.0018531,-0.067860819,0.043756852,-0.29654072,-0.193927761,0.594845265,0.860275154,0.72036592,0.850165909,0.988517041,0.178651362,0.341845768,0.615235106,0.022864402
YBR034C,461.7702011,371.2082794,354.3555845,297.4832361,518.6609241,477.5900448,477.2876842,439.26509,400.5064442,304.4488871,0.09480825,0.114986622,0.190963406,-0.050457626,-0.014629362,-0.014354324,0.021699214,0.061816395,0.180911513,0.16927661,0.077822394,0.016030447,0.850165909,0.940329816,0.798809766,0.745552585,0.390088968,0.029124404
YBR035C,8216.588693,8512.939344,9360.510664,8225.039733,8669.952095,8465.818336,8448.242357,8351.871674,9035.077768,8968.164707,-0.015387991,-0.056607995,-0.000446457,-0.02332515,-0.012977397,-0.012074817,-0.007092265,-0.041240347,-0.038012028,0.834510168,0.207833406,0.990799813,0.850165909,0.949608366,0.822803663,0.858191285,0.251080592,0.250266041
YBR037C,489.2104574,529.9928602,834.7438201,908.7008598,453.4319551,425.1813609,395.3200112,477.9638507,602.9884692,872.4616636,-0.034774287,-0.232057481,-0.268925207,0.032983609,0.060921514,0.092546933,0.010100681,-0.090813275,-0.251250621,0.573008193,0.222818863,0.021515768,0.850165909,0.710081989,0.068108706,0.858191285,0.121425318,0.257602393
YBR039W,1472.172088,2115.226562,2335.074954,1834.343203,1647.887966,1682.59562,1640.913621,1365.826455,1417.685516,568.9742181,-0.157398312,-0.200342246,-0.095522015,-0.048969103,-0.058021175,-0.047127141,0.032563059,0.016378677,0.412865992,0.159504912,0.125887532,0.060371078,0.850165909,0.473749976,0.380142396,0.71067738,0.611139245,0.025129533
YBR044C,9.14236081,NA,39.48218862,35.81093249,NA,NA,NA,NA,37.48563212,67.58119953,NA,-0.635342862,-0.592957273,NA,NA,NA,NA,-0.612806482,-0.868767539,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBR046C,1922.014611,1845.141579,1159.393927,529.805262,2081.392579,1997.903717,1582.165311,1810.957946,1812.922831,308.3997536,0.017726989,0.219525664,0.559640417,-0.034597317,-0.01681787,0.084504826,0.02584832,0.025377367,0.794642662,0.733096296,0.049409391,0.003269865,0.850165909,0.958718402,0.006677281,0.784883055,0.436413095,0.001115454
YBR052C,2072.771383,3362.248653,3401.400543,3660.098839,1927.622513,1927.708683,1799.858206,2494.802807,2906.02414,2628.449645,-0.210078424,-0.215106373,-0.246941409,0.031529414,0.031510001,0.061313112,-0.08048482,-0.146747814,-0.103148257,0.015377749,0.017816409,0.00475563,0.850165909,0.903742893,0.137594751,0.209061133,0.065690183,0.041517322
YBR053C,402.3728325,436.58984,296.3354819,312.6956185,398.1971001,382.513271,414.1260646,413.3132488,476.58048,240.244165,-0.035444975,0.132844995,0.109506854,0.004530557,0.021982143,-0.012503915,-0.011650677,-0.0735076,0.223975802,0.777977848,0.237093521,0.279415669,0.987487373,0.936353519,0.897488892,0.936414424,0.508711551,0.072547403
YBR056W,1521.367266,1131.391394,752.875891,752.4622362,1225.610182,1188.145663,880.2941738,1371.78355,1374.280289,609.9168207,0.128621197,0.305510678,0.305749359,0.093881707,0.107364381,0.23760624,0.044948477,0.04415875,0.396963457,0.164418012,0.025286381,0.013724961,0.850165909,0.664888906,0.044546238,0.589364864,0.427428848,0.009159456
